id_ambulancia,t0,n_pm_w,n_cm_w,n_total_mant_w,dias_desde_ultima_interv,n_eventos_vehicular_w,n_eventos_electrico_w,n_eventos_equipamiento_w,n_episodios_downtime_w,downtime_total_dias_w,downtime_promedio_dias_w,disponibilidad_w,km_en_w,servicios_en_w,equipamiento_funcional,y_inoperativa_14
AMB-T2-001,2024-03-01,2,0,2,22,2,0,0,0,0.0,0.0,1.0,6097.0,104,1,0
AMB-T2-001,2024-03-08,2,0,2,1,2,0,0,0,0.0,0.0,1.0,6097.0,104,1,1
AMB-T2-001,2024-03-15,2,0,2,8,2,0,0,0,0.0,0.0,1.0,6097.0,104,1,1
AMB-T2-001,2024-03-22,2,1,3,0,2,1,0,1,4.4,4.4,0.9267,6097.0,104,1,0
AMB-T2-001,2024-03-29,2,1,3,7,2,1,0,1,4.4,4.4,0.9267,6097.0,104,1,0
AMB-T2-001,2024-04-05,3,1,4,1,2,2,0,1,4.4,4.4,0.9267,6574.0,129,1,0
AMB-T2-001,2024-04-12,2,1,3,8,1,2,0,1,4.4,4.4,0.9267,6574.0,129,1,0
AMB-T2-001,2024-04-19,2,1,3,15,1,2,0,1,4.4,4.4,0.9267,6574.0,129,1,0
AMB-T2-001,2024-04-26,2,1,3,22,1,2,0,1,4.4,4.4,0.9267,6574.0,129,1,0
AMB-T2-001,2024-05-03,2,1,3,29,1,2,0,1,4.4,4.4,0.9267,7032.0,97,1,1
AMB-T2-001,2024-05-10,2,1,3,4,1,2,0,1,4.4,4.4,0.9267,7032.0,97,1,1
AMB-T2-001,2024-05-17,2,2,4,3,1,3,0,2,7.0,3.5,0.8833,7032.0,97,1,0
AMB-T2-001,2024-05-24,2,1,3,10,1,2,0,1,2.6,2.6,0.9567,7032.0,97,1,0
AMB-T2-001,2024-05-31,3,1,4,3,1,2,1,1,2.6,2.6,0.9567,3705.0,37,1,0
AMB-T2-001,2024-06-07,2,1,3,10,1,1,1,1,2.6,2.6,0.9567,6608.0,92,1,0
AMB-T2-001,2024-06-14,2,1,3,17,1,1,1,1,2.6,2.6,0.9567,6608.0,92,1,0
AMB-T2-001,2024-06-21,2,1,3,24,1,1,1,1,2.6,2.6,0.9567,6608.0,92,1,0
AMB-T2-001,2024-06-28,2,1,3,31,1,1,1,1,2.6,2.6,0.9567,6608.0,92,1,0
AMB-T2-001,2024-07-05,2,1,3,6,0,2,1,1,2.6,2.6,0.9567,6011.0,130,1,0
AMB-T2-001,2024-07-12,2,1,3,13,0,2,1,1,2.6,2.6,0.9567,6011.0,130,1,0
AMB-T2-001,2024-07-19,2,0,2,20,0,1,1,0,0.0,0.0,1.0,6011.0,130,1,0
AMB-T2-001,2024-07-26,3,0,3,4,1,1,1,0,0.0,0.0,1.0,6011.0,130,1,0
AMB-T2-001,2024-08-02,2,0,2,11,1,1,0,0,0.0,0.0,1.0,5814.0,119,1,0
AMB-T2-001,2024-08-09,2,0,2,18,1,1,0,0,0.0,0.0,1.0,5814.0,119,1,0
AMB-T2-001,2024-08-16,2,0,2,25,1,1,0,0,0.0,0.0,1.0,5814.0,119,1,0
AMB-T2-001,2024-08-23,3,0,3,4,2,1,0,0,0.0,0.0,1.0,5814.0,119,1,0
AMB-T2-001,2024-08-30,2,0,2,11,2,0,0,0,0.0,0.0,1.0,2706.0,44,1,0
AMB-T2-001,2024-09-06,2,0,2,18,2,0,0,0,0.0,0.0,1.0,6323.0,91,1,0
AMB-T2-001,2024-09-13,3,0,3,0,3,0,0,0,0.0,0.0,1.0,6323.0,91,1,1
AMB-T2-001,2024-09-20,2,0,2,7,2,0,0,0,0.0,0.0,1.0,6323.0,91,1,1
AMB-T2-001,2024-09-27,2,0,2,14,2,0,0,1,4.4,4.4,0.9267,6323.0,91,1,0
AMB-T2-001,2024-10-04,2,0,2,21,2,0,0,1,4.4,4.4,0.9267,5325.0,125,1,0
AMB-T2-001,2024-10-11,2,0,2,28,2,0,0,1,4.4,4.4,0.9267,5325.0,125,1,0
AMB-T2-001,2024-10-18,2,0,2,2,1,1,0,1,4.4,4.4,0.9267,5325.0,125,1,0
AMB-T2-001,2024-10-25,2,0,2,9,1,1,0,1,4.4,4.4,0.9267,5325.0,125,1,0
AMB-T2-001,2024-11-01,2,0,2,16,1,1,0,1,4.4,4.4,0.9267,4506.0,140,1,0
AMB-T2-001,2024-11-08,3,0,3,3,2,1,0,1,4.4,4.4,0.9267,4506.0,140,1,0
AMB-T2-001,2024-11-15,2,0,2,10,1,1,0,1,4.4,4.4,0.9267,4506.0,140,1,0
AMB-T2-001,2024-11-22,2,0,2,17,1,1,0,1,4.4,4.4,0.9267,4506.0,140,1,0
AMB-T2-001,2024-11-29,2,0,2,24,1,1,0,0,0.0,0.0,1.0,4506.0,140,1,1
AMB-T2-001,2024-12-06,2,0,2,31,1,1,0,0,0.0,0.0,1.0,5489.0,106,1,1
AMB-T2-001,2024-12-13,3,1,4,0,2,2,0,1,2.8,2.8,0.9533,5489.0,106,1,0
AMB-T2-001,2024-12-20,2,1,3,7,2,1,0,1,2.8,2.8,0.9533,5489.0,106,1,0
AMB-T2-001,2024-12-27,2,1,3,14,2,1,0,1,2.8,2.8,0.9533,5489.0,106,1,1
