id_ambulancia,t0,n_pm_w,n_cm_w,n_total_mant_w,dias_desde_ultima_interv,n_eventos_vehicular_w,n_eventos_electrico_w,n_eventos_equipamiento_w,n_episodios_downtime_w,downtime_total_dias_w,downtime_promedio_dias_w,disponibilidad_w,km_en_w,servicios_en_w,equipamiento_funcional,y_inoperativa_14
AMB-T2-001,2025-01-03,2,1,3,21,2,1,0,1,2.8,2.8,0.9533,5160.0,90,1,1
AMB-T2-001,2025-01-10,1,1,2,28,1,1,0,2,13.7,6.85,0.7717,5160.0,90,1,0
AMB-T2-001,2025-01-17,2,1,3,5,2,1,0,2,13.7,6.85,0.7717,5160.0,90,1,0
AMB-T2-001,2025-01-24,2,1,3,12,2,1,0,2,13.7,6.85,0.7717,5160.0,90,1,0
AMB-T2-001,2025-01-31,2,1,3,19,2,1,0,2,13.7,6.85,0.7717,2469.0,46,1,0
AMB-T2-001,2025-02-07,1,1,2,26,1,1,0,2,13.7,6.85,0.7717,5525.0,99,1,0
AMB-T2-001,2025-02-14,2,0,2,6,2,0,0,1,10.9,10.9,0.8183,5525.0,99,1,0
AMB-T2-001,2025-02-21,2,0,2,13,2,0,0,1,10.9,10.9,0.8183,5525.0,99,1,1
AMB-T2-001,2025-02-28,2,0,2,20,2,0,0,1,10.9,10.9,0.8183,5525.0,99,1,1
AMB-T2-001,2025-03-07,2,0,2,27,2,0,0,1,7.1,7.1,0.8817,6275.0,91,1,0
AMB-T2-001,2025-03-14,2,0,2,4,2,0,0,1,7.1,7.1,0.8817,6275.0,91,1,0
AMB-T2-001,2025-03-21,2,0,2,11,2,0,0,1,7.1,7.1,0.8817,6275.0,91,1,0
AMB-T2-001,2025-03-28,2,0,2,18,2,0,0,1,7.1,7.1,0.8817,6275.0,91,1,0
AMB-T2-001,2025-04-04,2,0,2,25,2,0,0,1,7.1,7.1,0.8817,6347.0,110,1,0
AMB-T2-001,2025-04-11,2,0,2,1,1,0,1,1,7.1,7.1,0.8817,6347.0,110,1,0
AMB-T2-001,2025-04-18,2,0,2,8,1,0,1,1,7.1,7.1,0.8817,6347.0,110,1,0
AMB-T2-001,2025-04-25,2,0,2,15,1,0,1,1,7.1,7.1,0.8817,6347.0,110,1,0
AMB-T2-001,2025-05-02,2,0,2,22,1,0,1,1,7.1,7.1,0.8817,7368.0,132,1,0
AMB-T2-001,2025-05-09,1,0,1,29,0,0,1,0,0.0,0.0,1.0,7368.0,132,1,0
AMB-T2-001,2025-05-16,2,0,2,2,1,0,1,0,0.0,0.0,1.0,7368.0,132,1,0
AMB-T2-001,2025-05-23,2,0,2,9,1,0,1,0,0.0,0.0,1.0,7368.0,132,1,0
AMB-T2-001,2025-05-30,2,0,2,16,1,0,1,0,0.0,0.0,1.0,7368.0,132,1,0
AMB-T2-001,2025-06-06,2,0,2,23,1,0,1,0,0.0,0.0,1.0,8081.0,140,1,0
AMB-T2-001,2025-06-13,2,0,2,3,2,0,0,0,0.0,0.0,1.0,8081.0,140,1,0
AMB-T2-001,2025-06-20,2,0,2,10,2,0,0,0,0.0,0.0,1.0,8081.0,140,1,0
AMB-T2-001,2025-06-27,2,0,2,17,2,0,0,0,0.0,0.0,1.0,8081.0,140,1,0
AMB-T2-001,2025-07-04,2,0,2,24,2,0,0,0,0.0,0.0,1.0,7626.0,143,1,0
AMB-T2-001,2025-07-11,3,0,3,0,2,1,0,0,0.0,0.0,1.0,7626.0,143,1,0
AMB-T2-001,2025-07-18,2,0,2,7,1,1,0,0,0.0,0.0,1.0,7626.0,143,1,0
AMB-T2-001,2025-07-25,2,0,2,14,1,1,0,0,0.0,0.0,1.0,7626.0,143,1,0
AMB-T2-001,2025-08-01,2,0,2,21,1,1,0,0,0.0,0.0,1.0,6289.0,104,1,0
AMB-T2-001,2025-08-08,2,0,2,28,1,1,0,0,0.0,0.0,1.0,6289.0,104,1,0
AMB-T2-001,2025-08-15,2,0,2,6,1,1,0,0,0.0,0.0,1.0,6289.0,104,1,0
AMB-T2-001,2025-08-22,2,0,2,13,1,1,0,0,0.0,0.0,1.0,6289.0,104,1,0
AMB-T2-001,2025-08-29,2,0,2,20,1,1,0,0,0.0,0.0,1.0,6289.0,104,1,0
AMB-T2-001,2025-09-05,3,0,3,1,2,1,0,0,0.0,0.0,1.0,5927.0,86,1,0
AMB-T2-001,2025-09-12,2,0,2,8,2,0,0,0,0.0,0.0,1.0,5927.0,86,1,0
AMB-T2-001,2025-09-19,2,0,2,15,2,0,0,0,0.0,0.0,1.0,5927.0,86,1,0
AMB-T2-001,2025-09-26,2,0,2,22,2,0,0,0,0.0,0.0,1.0,5927.0,86,1,0
AMB-T2-001,2025-10-03,3,0,3,5,3,0,0,0,0.0,0.0,1.0,6267.0,89,1,0
AMB-T2-001,2025-10-10,2,0,2,12,2,0,0,0,0.0,0.0,1.0,6267.0,89,1,0
AMB-T2-001,2025-10-17,2,0,2,19,2,0,0,0,0.0,0.0,1.0,6267.0,89,1,0
AMB-T2-001,2025-10-24,2,0,2,26,2,0,0,0,0.0,0.0,1.0,6267.0,89,1,1
AMB-T2-001,2025-10-31,3,0,3,3,2,1,0,0,0.0,0.0,1.0,2844.0,44,1,1
AMB-T2-001,2025-11-07,2,1,3,6,2,1,0,1,3.5,3.5,0.9417,5433.0,89,1,0
AMB-T2-001,2025-11-14,2,1,3,13,2,1,0,1,3.5,3.5,0.9417,5433.0,89,1,0
AMB-T2-001,2025-11-21,3,1,4,0,2,2,0,1,3.5,3.5,0.9417,5433.0,89,1,0
AMB-T2-001,2025-11-28,2,1,3,7,1,2,0,1,3.5,3.5,0.9417,5433.0,89,1,0
AMB-T2-001,2025-12-05,2,1,3,14,1,2,0,1,3.5,3.5,0.9417,6235.0,121,1,0
AMB-T2-001,2025-12-12,2,1,3,21,1,2,0,1,3.5,3.5,0.9417,6235.0,121,1,0
AMB-T2-002,2025-01-03,1,0,1,23,1,0,0,0,0.0,0.0,1.0,4075.0,56,1,0
AMB-T2-002,2025-01-10,1,0,1,30,1,0,0,0,0.0,0.0,1.0,4075.0,56,1,0
AMB-T2-002,2025-01-17,2,0,2,0,1,0,1,0,0.0,0.0,1.0,4075.0,56,1,0
AMB-T2-002,2025-01-24,2,0,2,7,1,0,1,0,0.0,0.0,1.0,4075.0,56,1,0
AMB-T2-002,2025-01-31,2,0,2,14,1,0,1,0,0.0,0.0,1.0,2139.0,31,1,0
AMB-T2-002,2025-02-07,2,0,2,21,1,0,1,0,0.0,0.0,1.0,4808.0,64,1,0
AMB-T2-002,2025-02-14,2,0,2,0,1,0,1,0,0.0,0.0,1.0,4808.0,64,1,0
AMB-T2-002,2025-02-21,2,0,2,7,1,0,1,0,0.0,0.0,1.0,4808.0,64,1,0
AMB-T2-002,2025-02-28,2,0,2,14,1,0,1,0,0.0,0.0,1.0,4808.0,64,1,0
AMB-T2-002,2025-03-07,2,0,2,21,1,0,1,0,0.0,0.0,1.0,4214.0,76,1,0
AMB-T2-002,2025-03-14,2,0,2,28,1,0,1,0,0.0,0.0,1.0,4214.0,76,1,0
AMB-T2-002,2025-03-21,2,0,2,6,1,1,0,0,0.0,0.0,1.0,4214.0,76,1,0
AMB-T2-002,2025-03-28,2,0,2,13,1,1,0,0,0.0,0.0,1.0,4214.0,76,1,0
AMB-T2-002,2025-04-04,2,0,2,20,1,1,0,0,0.0,0.0,1.0,3407.0,81,1,0
AMB-T2-002,2025-04-11,2,0,2,27,1,1,0,0,0.0,0.0,1.0,3407.0,81,1,0
AMB-T2-002,2025-04-18,2,0,2,2,1,1,0,0,0.0,0.0,1.0,3407.0,81,1,0
AMB-T2-002,2025-04-25,2,0,2,9,1,1,0,0,0.0,0.0,1.0,3407.0,81,1,0
AMB-T2-002,2025-05-02,2,0,2,16,1,1,0,0,0.0,0.0,1.0,3568.0,62,1,0
AMB-T2-002,2025-05-09,2,0,2,23,1,1,0,0,0.0,0.0,1.0,3568.0,62,1,0
AMB-T2-002,2025-05-16,1,0,1,30,1,0,0,0,0.0,0.0,1.0,3568.0,62,1,0
AMB-T2-002,2025-05-23,2,0,2,1,1,0,1,0,0.0,0.0,1.0,3568.0,62,1,0
AMB-T2-002,2025-05-30,2,0,2,8,1,0,1,0,0.0,0.0,1.0,3568.0,62,1,0
AMB-T2-002,2025-06-06,2,0,2,15,1,0,1,0,0.0,0.0,1.0,3749.0,56,1,0
AMB-T2-002,2025-06-13,2,0,2,22,1,0,1,0,0.0,0.0,1.0,3749.0,56,1,0
AMB-T2-002,2025-06-20,1,0,1,29,0,0,1,0,0.0,0.0,1.0,3749.0,56,1,0
AMB-T2-002,2025-06-27,2,0,2,5,1,0,1,0,0.0,0.0,1.0,3749.0,56,1,0
AMB-T2-002,2025-07-04,2,0,2,12,1,0,1,0,0.0,0.0,1.0,4324.0,60,1,0
AMB-T2-002,2025-07-11,2,1,3,1,1,1,1,0,0.0,0.0,1.0,4324.0,60,1,0
AMB-T2-002,2025-07-18,2,1,3,8,1,1,1,0,0.0,0.0,1.0,4324.0,60,1,0
AMB-T2-002,2025-07-25,2,1,3,4,2,1,0,0,0.0,0.0,1.0,4324.0,60,1,0
AMB-T2-002,2025-08-01,2,1,3,11,2,1,0,0,0.0,0.0,1.0,3172.0,54,1,1
