variable,importancia,modelo_base,importancia_pct
km_en_w,0.1852377853434343,Random Forest,18.52
servicios_en_w,0.16914468479257944,Random Forest,16.91
dias_desde_ultima_interv,0.12213768048022029,Random Forest,12.21
downtime_promedio_dias_w,0.09988899969716036,Random Forest,9.99
disponibilidad_w,0.08709902904081518,Random Forest,8.71
downtime_total_dias_w,0.08102007569612618,Random Forest,8.1
n_total_mant_w,0.060385793771658695,Random Forest,6.04
n_cm_w,0.04770498396311616,Random Forest,4.77
n_eventos_electrico_w,0.033814747946806466,Random Forest,3.38
n_eventos_vehicular_w,0.026782813882747527,Random Forest,2.68
n_eventos_equipamiento_w,0.023938943666402947,Random Forest,2.39
n_episodios_downtime_w,0.023722512246509394,Random Forest,2.37
n_pm_w,0.022811289680161252,Random Forest,2.28
equipamiento_funcional,0.016310659792261886,Random Forest,1.63
